iter	Passed	Remaining
620	5214	3182
621	5222	3174
622	5230	3165
623	5238	3156
624	5246	3148
625	5254	3139
626	5262	3130
627	5270	3122
628	5279	3113
629	5287	3105
630	5295	3096
631	5303	3088
632	5311	3079
633	5320	3071
634	5328	3062
635	5336	3054
636	5344	3045
637	5353	3037
638	5361	3029
639	5370	3020
640	5377	3011
641	5385	3003
642	5393	2994
643	5402	2986
644	5410	2977
645	5418	2969
646	5426	2960
647	5434	2952
648	5442	2943
649	5450	2935
650	5459	2926
651	5467	2918
652	5475	2909
653	5483	2901
654	5492	2892
655	5500	2884
656	5508	2875
657	5516	2867
658	5524	2858
659	5533	2850
660	5541	2841
661	5549	2833
662	5557	2824
663	5566	2816
664	5574	2808
665	5582	2799
666	5590	2791
667	5598	2782
668	5607	2774
669	5615	2765
670	5624	2757
671	5632	2749
672	5640	2740
673	5648	2732
674	5656	2723
675	5664	2715
676	5673	2706
677	5681	2698
678	5689	2689
679	5697	2681
680	5705	2672
681	5713	2664
682	5721	2655
683	5730	2647
684	5737	2638
685	5745	2630
686	5753	2621
687	5762	2613
688	5770	2604
689	5778	2596
690	5786	2587
691	5794	2579
692	5803	2571
693	5811	2562
694	5820	2554
695	5828	2545
696	5837	2537
697	5845	2529
698	5853	2520
699	5861	2512
700	5869	2503
701	5878	2495
702	5886	2486
703	5894	2478
704	5902	2469
705	5910	2461
706	5918	2452
707	5927	2444
708	5935	2436
709	5943	2427
710	5951	2419
711	5959	2410
712	5967	2402
713	5975	2393
714	5984	2385
715	5992	2376
716	6001	2368
717	6009	2360
718	6017	2351
719	6025	2343
720	6034	2335
721	6042	2326
722	6050	2318
723	6058	2309
724	6066	2301
725	6074	2292
726	6082	2284
727	6090	2275
728	6098	2267
729	6107	2258
730	6116	2250
731	6124	2242
732	6132	2233
733	6140	2225
734	6148	2216
735	6157	2208
736	6165	2200
737	6172	2191
738	6180	2182
739	6189	2174
740	6197	2166
741	6205	2157
742	6214	2149
743	6222	2141
744	6230	2132
745	6238	2124
746	6246	2115
747	6255	2107
748	6263	2099
749	6271	2090
750	6279	2082
751	6288	2073
752	6295	2065
753	6303	2056
754	6312	2048
755	6320	2040
756	6328	2031
757	6336	2023
758	6344	2014
759	6352	2006
760	6361	1997
761	6369	1989
762	6377	1980
763	6385	1972
764	6394	1964
765	6402	1955
766	6411	1947
767	6420	1939
768	6427	1930
769	6435	1922
770	6444	1913
771	6452	1905
772	6460	1897
773	6468	1888
774	6477	1880
775	6485	1872
776	6493	1863
777	6501	1855
778	6509	1846
779	6517	1838
780	6525	1829
781	6533	1821
782	6541	1812
783	6549	1804
784	6558	1796
785	6565	1787
786	6574	1779
787	6583	1771
788	6591	1762
789	6599	1754
790	6607	1745
791	6615	1737
792	6623	1729
793	6632	1720
794	6640	1712
795	6648	1703
796	6657	1695
797	6665	1687
798	6674	1679
799	6682	1670
800	6690	1662
801	6699	1653
802	6707	1645
803	6715	1637
804	6723	1628
805	6731	1620
806	6739	1611
807	6747	1603
808	6755	1594
809	6763	1586
810	6772	1578
811	6781	1570
812	6790	1561
813	6798	1553
814	6806	1545
815	6814	1536
816	6822	1528
817	6830	1519
818	6839	1511
819	6847	1503
820	6855	1494
821	6863	1486
822	6871	1477
823	6879	1469
824	6888	1461
825	6896	1452
826	6904	1444
827	6913	1436
828	6921	1427
829	6929	1419
830	6937	1410
831	6945	1402
832	6953	1394
833	6961	1385
834	6969	1377
835	6977	1368
836	6986	1360
837	6994	1352
838	7003	1343
839	7011	1335
840	7019	1327
841	7027	1318
842	7035	1310
843	7043	1301
844	7051	1293
845	7059	1285
846	7067	1276
847	7075	1268
848	7084	1260
849	7093	1251
850	7101	1243
851	7109	1234
852	7117	1226
853	7125	1218
854	7134	1209
855	7141	1201
856	7149	1193
857	7157	1184
858	7166	1176
859	7173	1167
860	7181	1159
861	7190	1151
862	7198	1142
863	7206	1134
864	7214	1125
865	7223	1117
866	7231	1109
867	7239	1100
868	7247	1092
869	7255	1084
870	7264	1075
871	7272	1067
872	7280	1059
873	7288	1050
874	7296	1042
875	7304	1034
876	7312	1025
877	7321	1017
878	7329	1008
879	7338	1000
880	7346	992
881	7354	983
882	7363	975
883	7370	967
884	7379	958
885	7387	950
886	7395	942
887	7403	933
888	7411	925
889	7419	917
890	7428	908
891	7436	900
892	7444	892
893	7452	883
894	7460	875
895	7469	866
896	7477	858
897	7485	850
898	7493	841
899	7502	833
900	7510	825
901	7518	816
902	7526	808
903	7534	800
904	7543	791
905	7551	783
906	7559	775
907	7568	766
908	7576	758
909	7585	750
910	7592	741
911	7600	733
912	7608	725
913	7617	716
914	7625	708
915	7633	700
916	7642	691
917	7650	683
918	7658	675
919	7667	666
920	7676	658
921	7684	650
922	7692	641
923	7701	633
924	7708	625
925	7717	616
926	7725	608
927	7733	600
928	7742	591
929	7751	583
930	7759	575
931	7767	566
932	7776	558
933	7784	550
934	7793	541
935	7801	533
936	7809	525
937	7817	516
938	7825	508
939	7834	500
940	7842	491
941	7850	483
942	7858	474
943	7866	466
944	7875	458
945	7883	449
946	7891	441
947	7899	433
948	7908	424
949	7916	416
950	7924	408
951	7932	399
952	7940	391
953	7949	383
954	7957	374
955	7966	366
956	7974	358
957	7982	349
958	7990	341
959	7998	333
960	8007	324
961	8014	316
962	8023	308
963	8031	299
964	8039	291
965	8047	283
966	8055	274
967	8064	266
968	8073	258
969	8082	249
970	8090	241
971	8098	233
972	8106	224
973	8114	216
974	8123	208
975	8131	199
976	8139	191
977	8147	183
978	8155	174
979	8163	166
980	8172	158
981	8180	149
982	8188	141
983	8196	133
984	8204	124
985	8212	116
986	8221	108
987	8229	99
988	8237	91
989	8246	83
990	8256	74
991	8265	66
992	8275	58
993	8284	50
994	8293	41
995	8303	33
996	8311	25
997	8319	16
998	8328	8
999	8336	0
